epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,483.154,0.23705,0.67883,0.9172,0.93828,0.91886,0.97611,0.97424,0.1806,0.61063,1.00717,0.000247472,0.000247472,0.000247472
101,487.781,0.23202,0.63829,0.91471,0.94988,0.93472,0.98111,0.97345,0.162,0.54375,0.98691,0.00024276,0.00024276,0.00024276
102,492.376,0.24768,0.70921,0.93113,0.95453,0.94319,0.98429,0.97136,0.16956,0.56019,1.00421,0.000238048,0.000238048,0.000238048
103,497.015,0.25081,0.68662,0.93246,0.92444,0.9544,0.98429,0.97246,0.17688,0.56577,0.98221,0.000233335,0.000233335,0.000233335
104,501.656,0.23917,0.63918,0.92575,0.8839,0.92889,0.93815,0.92189,0.19523,0.65462,0.98083,0.000228623,0.000228623,0.000228623
105,506.24,0.22069,0.5881,0.93328,0.88144,0.92173,0.93485,0.92669,0.23322,0.69751,1.0039,0.00022391,0.00022391,0.00022391
106,510.882,0.22247,0.62868,0.92318,0.89382,0.92568,0.95112,0.93668,0.2255,0.62028,1.0112,0.000219198,0.000219198,0.000219198
107,515.54,0.22391,0.63001,0.93221,0.92304,0.92214,0.96347,0.9569,0.1727,0.56414,1.00456,0.000214486,0.000214486,0.000214486
108,520.257,0.21532,0.58725,0.9215,0.95196,0.93255,0.98175,0.97575,0.16289,0.48735,1.00062,0.000209773,0.000209773,0.000209773
109,525.085,0.23123,0.62284,0.91122,0.95635,0.96239,0.995,0.98872,0.17237,0.44258,0.97913,0.000205061,0.000205061,0.000205061
110,529.573,0.25038,0.72238,0.9434,0.96192,0.89875,0.97008,0.96572,0.16989,0.46885,0.97376,0.000200348,0.000200348,0.000200348
111,534.204,0.21015,0.6133,0.92102,0.96914,0.90199,0.97833,0.97287,0.15128,0.48721,0.96382,0.000195636,0.000195636,0.000195636
112,538.875,0.20197,0.61351,0.91966,0.95387,0.95489,0.995,0.99251,0.137,0.4782,0.9554,0.000190924,0.000190924,0.000190924
113,543.548,0.21843,0.62327,0.9065,0.95294,0.97833,0.995,0.99251,0.14311,0.44113,0.96112,0.000186211,0.000186211,0.000186211
114,548.159,0.21258,0.59287,0.90376,0.97041,0.97707,0.995,0.99251,0.14427,0.40805,0.96478,0.000181499,0.000181499,0.000181499
115,552.831,0.23165,0.66138,0.92118,0.97789,0.97829,0.995,0.99092,0.13092,0.40137,0.94938,0.000176786,0.000176786,0.000176786
116,557.483,0.20802,0.57968,0.92403,0.9765,0.97157,0.98667,0.98508,0.14297,0.40557,0.95167,0.000172074,0.000172074,0.000172074
117,562.246,0.22916,0.63359,0.92522,0.9736,0.97907,0.995,0.99284,0.14538,0.4209,0.95411,0.000167362,0.000167362,0.000167362
118,567.273,0.22018,0.60529,0.92132,0.95925,0.97548,0.995,0.995,0.10501,0.40721,0.93905,0.000162649,0.000162649,0.000162649
119,572.293,0.20427,0.58121,0.92016,0.94453,0.98054,0.995,0.99252,0.11277,0.40338,0.94524,0.000157937,0.000157937,0.000157937
120,577.168,0.21534,0.61983,0.92764,0.94181,0.97801,0.995,0.99252,0.1631,0.41051,0.95891,0.000153224,0.000153224,0.000153224
121,582.055,0.22788,0.59423,0.91652,0.95206,0.95524,0.995,0.995,0.1707,0.41703,0.98273,0.000148512,0.000148512,0.000148512
122,587.13,0.19827,0.62794,0.91438,0.98393,0.89859,0.97833,0.97833,0.15254,0.44111,0.99825,0.0001438,0.0001438,0.0001438
123,591.972,0.217,0.55654,0.91202,0.98327,0.89509,0.97333,0.97333,0.1527,0.4548,0.98071,0.000139087,0.000139087,0.000139087
124,596.78,0.20075,0.60277,0.90913,0.98007,0.89678,0.97833,0.97833,0.15539,0.4965,0.9853,0.000134375,0.000134375,0.000134375
